Pope Paschal II	教宗賈利二世，由公元1099年至1118年任第一百六十一任教宗
Pope Theodoric	偽教宗鐸理，公元1100年任偽教宗
Pope Albert	偽教宗雅博，公元1102年任偽教宗
Pope Sylvester IV	教宗思維四世，由公元1105年至1111年任第任教宗
Pope Gelasius II	教宗傑拉二世，由公元1118年至1119年任第一百六十二任教宗
Pope Gregory VIII	偽教宗國瑞八世，由公元1118年至1121年任偽教宗
Pope Callistus II	教宗嘉禮二世，由公元1119年至1124年任第一百六十三任教宗
Pope Honorius II	教宗何諾二世，由公元1124年至1130年任第一百六十四任教宗
Pope Celestine II	偽教宗雷定二世，公元1124年任偽教宗
Pope Innocent II	教宗諾森二世，由公元1130年至1143年任第一百六十五任教宗
Pope Anacletus II	偽教宗克雷二世，由公元1130年至1138年任偽教宗
Pope Victor IV	偽教宗維篤四世，公元1138年任偽教宗
Pope Celestine II	教宗雷定二世，由公元1143年至1144年任第一百六十六任教宗
Pope Lucius II	教宗路啟二世，由公元1144年至1145年任第一百六十七任教宗
Pope Bl. Eugene III	教宗真褔恩仁三世，由公元1145年至1153年任第一百六十八任教宗
Pope Anastasius IV	教宗達西四世，由公元1153年至1154年任第一百六十九任教宗
Pope Adrian IV	教宗亞德四世，由公元1154年至1159年任第一百七十任教宗
Pope Alexander III	教宗歷山三世，由公元1159年至1181年任第一百七十一任教宗
Pope Victor IV	偽教宗維篤四世，由公元1159年至1164年任偽教宗
Pope Paschal III	偽教宗賈利三世，由公元1164年至1168年任偽教宗
Pope Callistus III	偽教宗嘉理三世，由公元1168年至1178年任偽教宗
Pope Innocent III	偽教宗諾森三世，由公元1179年至1180年任偽教宗
Pope Lucius III	教宗路啟三世，由公元1181年至1185年任第一百七十二任教宗
Pope Urban III	教宗伍朋三世，由公元1185年至1187年任第一百七十三任教宗
Pope Gregory VIII	教宗國瑞八世，公元1187年任第一百七十四任教宗
Pope Clement III	教宗克勉三世，由公元1187年至1191年任第一百七十五任教宗
Pope Celestine III	教宗雷定三世，由公元1191年至1198年任第一百七十六任教宗
Pope Innocent III	教宗諾森三世，由公元1198年至1216年任第一百七十七任教宗
